"Series_Reference","Period","Data_Value","Status Code","Type","Group","Description"
"CPIQ.SE204","2023.09",1319,"FINAL","Regional index","Wellington","Housing and household utilities"
"CPIQ.SE204101","2023.09",1304,"FINAL","Regional index","Wellington","Actual rentals for housing"
"CPIQ.SE204201","2023.09",1362,"FINAL","Regional index","Wellington","Purchase of housing"
"CPIQ.SE205","2023.09",1150,"FINAL","Regional index","Wellington","Household contents and services"
"CPIQ.SE206","2023.09",1134,"FINAL","Regional index","Wellington","Health"
"CPIQ.SE207","2023.09",1280,"FINAL","Regional index","Wellington","Transport"
"CPIQ.SE207202","2023.09",1427,"FINAL","Regional index","Wellington","Petrol"
"CPIQ.SE209","2023.09",1157,"FINAL","Regional index","Wellington","Recreation and culture"
"CPIQ.SE211","2023.09",1233,"FINAL","Regional index","Wellington","Miscellaneous goods and services"
"CPIQ.SE2A","2023.09",1238,"FINAL","Regional index","Wellington","All Groups"
"CPIQ.SE301","2023.09",1299,"FINAL","Regional index","Rest of North Island","Food"
"CPIQ.SE302","2023.09",1357,"FINAL","Regional index","Rest of North Island","Alcoholic beverages and tobacco"
"CPIQ.SE303","2023.09",1076,"FINAL","Regional index","Rest of North Island","Clothing and footwear"
"CPIQ.SE304","2023.09",1427,"FINAL","Regional index","Rest of North Island","Housing and household utilities"
"CPIQ.SE304101","2023.09",1378,"FINAL","Regional index","Rest of North Island","Actual rentals for housing"
"CPIQ.SE304201","2023.09",1672,"FINAL","Regional index","Rest of North Island","Purchase of housing"
"CPIQ.SE305","2023.09",1190,"FINAL","Regional index","Rest of North Island","Household contents and services"
"CPIQ.SE306","2023.09",1172,"FINAL","Regional index","Rest of North Island","Health"
"CPIQ.SE307","2023.09",1326,"FINAL","Regional index","Rest of North Island","Transport"
"CPIQ.SE307202","2023.09",1532,"FINAL","Regional index","Rest of North Island","Petrol"
"CPIQ.SE309","2023.09",1186,"FINAL","Regional index","Rest of North Island","Recreation and culture"
"CPIQ.SE311","2023.09",1220,"FINAL","Regional index","Rest of North Island","Miscellaneous goods and services"
"CPIQ.SE3A","2023.09",1280,"FINAL","Regional index","Rest of North Island","All Groups"
"CPIQ.SE401","2023.09",1297,"FINAL","Regional index","North Island","Food"
"CPIQ.SE402","2023.09",1326,"FINAL","Regional index","North Island","Alcoholic beverages and tobacco"
"CPIQ.SE403","2023.09",1070,"FINAL","Regional index","North Island","Clothing and footwear"
"CPIQ.SE404","2023.09",1344,"FINAL","Regional index","North Island","Housing and household utilities"
"CPIQ.SE404101","2023.09",1233,"FINAL","Regional index","North Island","Actual rentals for housing"
"CPIQ.SE404201","2023.09",1568,"FINAL","Regional index","North Island","Purchase of housing"
"CPIQ.SE405","2023.09",1168,"FINAL","Regional index","North Island","Household contents and services"
"CPIQ.SE406","2023.09",1138,"FINAL","Regional index","North Island","Health"
"CPIQ.SE407","2023.09",1321,"FINAL","Regional index","North Island","Transport"
"CPIQ.SE407202","2023.09",1533,"FINAL","Regional index","North Island","Petrol"
"CPIQ.SE409","2023.09",1191,"FINAL","Regional index","North Island","Recreation and culture"
"CPIQ.SE411","2023.09",1222,"FINAL","Regional index","North Island","Miscellaneous goods and services"
"CPIQ.SE4A","2023.09",1257,"FINAL","Regional index","North Island","All Groups"
"CPIQ.SE501","2023.09",1277,"FINAL","Regional index","Canterbury","Food"
"CPIQ.SE502","2023.09",1313,"FINAL","Regional index","Canterbury","Alcoholic beverages and tobacco"
"CPIQ.SE503","2023.09",1036,"FINAL","Regional index","Canterbury","Clothing and footwear"
"CPIQ.SE504","2023.09",1260,"FINAL","Regional index","Canterbury","Housing and household utilities"
"CPIQ.SE504101","2023.09",1186,"FINAL","Regional index","Canterbury","Actual rentals for housing"
"CPIQ.SE504201","2023.09",1297,"FINAL","Regional index","Canterbury","Purchase of housing"
"CPIQ.SE505","2023.09",1190,"FINAL","Regional index","Canterbury","Household contents and services"
"CPIQ.SE506","2023.09",1173,"FINAL","Regional index","Canterbury","Health"
"CPIQ.SE507","2023.09",1302,"FINAL","Regional index","Canterbury","Transport"
"CPIQ.SE507202","2023.09",1416,"FINAL","Regional index","Canterbury","Petrol"
"CPIQ.SE509","2023.09",1201,"FINAL","Regional index","Canterbury","Recreation and culture"
"CPIQ.SE511","2023.09",1299,"FINAL","Regional index","Canterbury","Miscellaneous goods and services"
"CPIQ.SE5A","2023.09",1232,"FINAL","Regional index","Canterbury","All Groups"
"CPIQ.SE601","2023.09",1299,"FINAL","Regional index","Rest of South Island","Food"
"CPIQ.SE602","2023.09",1358,"FINAL","Regional index","Rest of South Island","Alcoholic beverages and tobacco"
"CPIQ.SE603","2023.09",1088,"FINAL","Regional index","Rest of South Island","Clothing and footwear"
"CPIQ.SE604","2023.09",1372,"FINAL","Regional index","Rest of South Island","Housing and household utilities"
"CPIQ.SE604101","2023.09",1289,"FINAL","Regional index","Rest of South Island","Actual rentals for housing"
"CPIQ.SE604201","2023.09",1564,"FINAL","Regional index","Rest of South Island","Purchase of housing"
"CPIQ.SE605","2023.09",1185,"FINAL","Regional index","Rest of South Island","Household contents and services"
"CPIQ.SE606","2023.09",1141,"FINAL","Regional index","Rest of South Island","Health"
"CPIQ.SE607","2023.09",1311,"FINAL","Regional index","Rest of South Island","Transport"
"CPIQ.SE607202","2023.09",1415,"FINAL","Regional index","Rest of South Island","Petrol"
"CPIQ.SE609","2023.09",1198,"FINAL","Regional index","Rest of South Island","Recreation and culture"
"CPIQ.SE611","2023.09",1259,"FINAL","Regional index","Rest of South Island","Miscellaneous goods and services"
"CPIQ.SE6A","2023.09",1264,"FINAL","Regional index","Rest of South Island","All Groups"
"CPIQ.SE701","2023.09",1287,"FINAL","Regional index","South Island","Food"
"CPIQ.SE702","2023.09",1334,"FINAL","Regional index","South Island","Alcoholic beverages and tobacco"
"CPIQ.SE703","2023.09",1055,"FINAL","Regional index","South Island","Clothing and footwear"
"CPIQ.SE704","2023.09",1307,"FINAL","Regional index","South Island","Housing and household utilities"
"CPIQ.SE704101","2023.09",1225,"FINAL","Regional index","South Island","Actual rentals for housing"
"CPIQ.SE704201","2023.09",1398,"FINAL","Regional index","South Island","Purchase of housing"
"CPIQ.SE705","2023.09",1189,"FINAL","Regional index","South Island","Household contents and services"
"CPIQ.SE706","2023.09",1158,"FINAL","Regional index","South Island","Health"
"CPIQ.SE707","2023.09",1306,"FINAL","Regional index","South Island","Transport"
"CPIQ.SE707202","2023.09",1412,"FINAL","Regional index","South Island","Petrol"
"CPIQ.SE709","2023.09",1200,"FINAL","Regional index","South Island","Recreation and culture"
"CPIQ.SE711","2023.09",1282,"FINAL","Regional index","South Island","Miscellaneous goods and services"
"CPIQ.SE7A","2023.09",1246,"FINAL","Regional index","South Island","All Groups"
"CPIQ.SE901","2023.09",1295,"FINAL","Main CPI","Group","Food"
"CPIQ.SE9011","2023.09",1323,"FINAL","Main CPI","Subgroup","Fruit and vegetables"
"CPIQ.SE901101","2023.09",1211,"FINAL","Main CPI","Class","Fruit"
"CPIQ.SE901101IPCA","2023.09",0.63,"FINAL","Index point contribution annual","Class","Fruit"
"CPIQ.SE901101IPCP","2023.09",-0.73,"FINAL","Index point contribution quarterly","Class","Fruit"
"CPIQ.SE901101PCCA","2023.09",0.9,"FINAL","Percentage contribution annual","Class","Fruit"
"CPIQ.SE901101PCCP","2023.09",-3.4,"FINAL","Percentage contribution quarterly","Class","Fruit"
"CPIQ.SE901101PPCA","2023.09",0.053,"FINAL","Percentage points contribution annual","Class","Fruit"
"CPIQ.SE901101PPCP","2023.09",-0.061,"FINAL","Percentage points contribution quarterly","Class","Fruit"
"CPIQ.SE901102","2023.09",1394,"FINAL","Main CPI","Class","Vegetables"
"CPIQ.SE901102IPCA","2023.09",0.83,"FINAL","Index point contribution annual","Class","Vegetables"
"CPIQ.SE901102IPCP","2023.09",1.03,"FINAL","Index point contribution quarterly","Class","Vegetables"
"CPIQ.SE901102PCCA","2023.09",1.2,"FINAL","Percentage contribution annual","Class","Vegetables"
"CPIQ.SE901102PCCP","2023.09",4.8,"FINAL","Percentage contribution quarterly","Class","Vegetables"
"CPIQ.SE901102PPCA","2023.09",0.07,"FINAL","Percentage points contribution annual","Class","Vegetables"
"CPIQ.SE901102PPCP","2023.09",0.086,"FINAL","Percentage points contribution quarterly","Class","Vegetables"
"CPIQ.SE9011IPCA","2023.09",1.46,"FINAL","Index point contribution annual","Subgroup","Fruit and vegetables"
"CPIQ.SE9011IPCP","2023.09",0.3,"FINAL","Index point contribution quarterly","Subgroup","Fruit and vegetables"
"CPIQ.SE9011PCCA","2023.09",2.2,"FINAL","Percentage contribution annual","Subgroup","Fruit and vegetables"
"CPIQ.SE9011PCCP","2023.09",1.4,"FINAL","Percentage contribution quarterly","Subgroup","Fruit and vegetables"
"CPIQ.SE9011PPCA","2023.09",0.124,"FINAL","Percentage points contribution annual","Subgroup","Fruit and vegetables"
"CPIQ.SE9011PPCP","2023.09",0.025,"FINAL","Percentage points contribution quarterly","Subgroup","Fruit and vegetables"
"CPIQ.SE9012","2023.09",1277,"FINAL","Main CPI","Subgroup","Meat, poultry and fish"
"CPIQ.SE901201","2023.09",1265,"FINAL","Main CPI","Class","Meat and poultry"
"CPIQ.SE9012011","2023.09",1253,"FINAL","Main CPI","Section","Beef and veal (fresh, chilled or frozen)"
"CPIQ.SE9012012","2023.09",1191,"FINAL","Main CPI","Section","Pork (fresh, chilled or frozen)"
"CPIQ.SE9012013","2023.09",1286,"FINAL","Main CPI","Section","Mutton, lamb and hogget (fresh, chilled or frozen)"
"CPIQ.SE9012014","2023.09",1151,"FINAL","Main CPI","Section","Poultry (fresh, chilled or frozen)"
"CPIQ.SE9012016","2023.09",1365,"FINAL","Main CPI","Section","Preserved, prepared and processed meat"
"CPIQ.SE901201IPCA","2023.09",2.02,"FINAL","Index point contribution annual","Class","Meat and poultry"
"CPIQ.SE901201IPCP","2023.09",0.07,"FINAL","Index point contribution quarterly","Class","Meat and poultry"
"CPIQ.SE901201PCCA","2023.09",3,"FINAL","Percentage contribution annual","Class","Meat and poultry"
"CPIQ.SE901201PCCP","2023.09",0.3,"FINAL","Percentage contribution quarterly","Class","Meat and poultry"
"CPIQ.SE901201PPCA","2023.09",0.171,"FINAL","Percentage points contribution annual","Class","Meat and poultry"
"CPIQ.SE901201PPCP","2023.09",0.006,"FINAL","Percentage points contribution quarterly","Class","Meat and poultry"
"CPIQ.SE901202","2023.09",1331,"FINAL","Main CPI","Class","Fish and other seafood"
"CPIQ.SE901202IPCA","2023.09",0.51,"FINAL","Index point contribution annual","Class","Fish and other seafood"
"CPIQ.SE901202IPCP","2023.09",0.04,"FINAL","Index point contribution quarterly","Class","Fish and other seafood"
